population_size;candidate_max_size;crossover_rate; mutation_rate;new_candidates_rate; num_elites
100;42;0.9;0.4;0.4;1
Generation;Fitness;Candidate;Reactions
0;0;{32, 35, 37, 8, 9, 12, 13, 44, 47, 16, 48, 46, 52, 53, 23, 25, 26, 27};['R_EX_M_tsul__extr_pool', 'R_EX_M_hco3__extr_pool', 'R_EX_M_C00163__extr_pool', 'R_EX_M_phe__L__extr_pool', 'R_EX_M_ile__L__extr_pool', 'R_EX_M_his__L__extr_pool', 'R_EX_M_gln__L__extr_pool', 'R_EX_M_citr__L__extr_pool', 'R_EX_M_glu5sa__extr_pool', 'R_EX_M_pro__L__extr_pool', 'R_EX_M_ala__D__extr_pool', 'R_EX_M_fe3__extr_pool', 'R_EX_M_26dap_LL__extr_pool', 'R_EX_M_glu__D__extr_pool', 'R_EX_e_Biomass__dra_damyloliticus', 'R_Sink_e_Urea__dra_damyloliticus', 'R_EX_M_cyan__extr_pool', 'R_EX_M_so4__extr_pool'] 
0;0;{32, 0, 34, 6, 38, 40, 42, 13, 14, 15, 48, 46, 18, 20, 53, 52, 28, 29};['R_EX_M_tsul__extr_pool', 'R_EX_M_nh4__extr_pool', 'R_EX_M_no2__extr_pool', 'R_EX_M_h__extr_pool', 'R_EX_M_C00221__extr_pool', 'R_EX_M_ac__extr_pool', 'R_EX_M_amet__extr_pool', 'R_EX_M_gln__L__extr_pool', 'R_EX_M_gly__extr_pool', 'R_EX_M_leu__L__extr_pool', 'R_EX_M_ala__D__extr_pool', 'R_EX_M_fe3__extr_pool', 'R_EX_M_ala__L__extr_pool', 'R_EX_M_h2s__extr_pool', 'R_EX_M_glu__D__extr_pool', 'R_EX_M_26dap_LL__extr_pool', 'R_EX_M_fe2__extr_pool', 'R_EX_M_no3__extr_pool'] 
0;0;{32, 0, 34, 4, 38, 7, 40, 48, 16, 23, 55, 25, 30};['R_EX_M_tsul__extr_pool', 'R_EX_M_nh4__extr_pool', 'R_EX_M_no2__extr_pool', 'R_EX_M_glc__aD__extr_pool', 'R_EX_M_C00221__extr_pool', 'R_EX_M_gal__extr_pool', 'R_EX_M_ac__extr_pool', 'R_EX_M_ala__D__extr_pool', 'R_EX_M_pro__L__extr_pool', 'R_EX_e_Biomass__dra_damyloliticus', 'R_EX_M_ahcys__extr_pool', 'R_Sink_e_Urea__dra_damyloliticus', 'R_EX_M_e_Biomass__extr_pool'] 
0;0;{32, 34, 37, 38, 8, 10, 12, 45, 14, 47, 48, 17, 50, 51, 44, 21, 22, 55, 26, 31};['R_EX_M_tsul__extr_pool', 'R_EX_M_no2__extr_pool', 'R_EX_M_C00163__extr_pool', 'R_EX_M_C00221__extr_pool', 'R_EX_M_phe__L__extr_pool', 'R_EX_M_h2o__extr_pool', 'R_EX_M_his__L__extr_pool', 'R_EX_M_C00819__extr_pool', 'R_EX_M_gly__extr_pool', 'R_EX_M_glu5sa__extr_pool', 'R_EX_M_ala__D__extr_pool', 'R_EX_M_thr__L__extr_pool', 'R_EX_M_26dap__M__extr_pool', 'R_EX_M_hcys__L__extr_pool', 'R_EX_M_citr__L__extr_pool', 'R_EX_M_met__L__extr_pool', 'R_EX_M_e_Biomass__cytop_pool', 'R_EX_M_ahcys__extr_pool', 'R_EX_M_cyan__extr_pool', 'R_EX_M_so3__extr_pool'] 
0;0;{2, 3, 4, 5, 8, 11, 12, 13, 16, 19, 21, 24, 25, 32, 34, 35, 38, 39, 40, 43, 44, 47, 49, 55};['R_EX_M_s__extr_pool', 'R_EX_M_asp__L__extr_pool', 'R_EX_M_glc__aD__extr_pool', 'R_EX_M_pi__extr_pool', 'R_EX_M_phe__L__extr_pool', 'R_EX_M_fru__extr_pool', 'R_EX_M_his__L__extr_pool', 'R_EX_M_gln__L__extr_pool', 'R_EX_M_pro__L__extr_pool', 'R_EX_M_fol__extr_pool', 'R_EX_M_met__L__extr_pool', 'R_Sink_e_5_Deoxyadenosine__dra_damyloliticus', 'R_Sink_e_Urea__dra_damyloliticus', 'R_EX_M_tsul__extr_pool', 'R_EX_M_no2__extr_pool', 'R_EX_M_hco3__extr_pool', 'R_EX_M_C00221__extr_pool', 'R_EX_M_ppi__extr_pool', 'R_EX_M_ac__extr_pool', 'R_EX_M_4pasp__extr_pool', 'R_EX_M_citr__L__extr_pool', 'R_EX_M_glu5sa__extr_pool', 'R_EX_M_acorn__extr_pool', 'R_EX_M_ahcys__extr_pool'] 
0;0;{0, 33, 35, 3, 5, 38, 39, 43, 45, 46, 47, 16, 15, 50, 19, 55, 23, 24, 28, 30};['R_EX_M_nh4__extr_pool', 'R_EX_M_h2__extr_pool', 'R_EX_M_hco3__extr_pool', 'R_EX_M_asp__L__extr_pool', 'R_EX_M_pi__extr_pool', 'R_EX_M_C00221__extr_pool', 'R_EX_M_ppi__extr_pool', 'R_EX_M_4pasp__extr_pool', 'R_EX_M_C00819__extr_pool', 'R_EX_M_fe3__extr_pool', 'R_EX_M_glu5sa__extr_pool', 'R_EX_M_pro__L__extr_pool', 'R_EX_M_leu__L__extr_pool', 'R_EX_M_26dap__M__extr_pool', 'R_EX_M_fol__extr_pool', 'R_EX_M_ahcys__extr_pool', 'R_EX_e_Biomass__dra_damyloliticus', 'R_Sink_e_5_Deoxyadenosine__dra_damyloliticus', 'R_EX_M_fe2__extr_pool', 'R_EX_M_e_Biomass__extr_pool'] 
0;0;{13, 38, 22};['R_EX_M_gln__L__extr_pool', 'R_EX_M_C00221__extr_pool', 'R_EX_M_e_Biomass__cytop_pool'] 
0;0;{1, 2, 3, 4, 6, 7, 9, 10, 11, 13, 14, 15, 17, 18, 24, 25, 26, 28, 31, 32, 33, 34, 35, 37, 38, 39, 44, 46, 48, 49, 56};['R_EX_M_arg__L__extr_pool', 'R_EX_M_s__extr_pool', 'R_EX_M_asp__L__extr_pool', 'R_EX_M_glc__aD__extr_pool', 'R_EX_M_h__extr_pool', 'R_EX_M_gal__extr_pool', 'R_EX_M_ile__L__extr_pool', 'R_EX_M_h2o__extr_pool', 'R_EX_M_fru__extr_pool', 'R_EX_M_gln__L__extr_pool', 'R_EX_M_gly__extr_pool', 'R_EX_M_leu__L__extr_pool', 'R_EX_M_thr__L__extr_pool', 'R_EX_M_ala__L__extr_pool', 'R_Sink_e_5_Deoxyadenosine__dra_damyloliticus', 'R_Sink_e_Urea__dra_damyloliticus', 'R_EX_M_cyan__extr_pool', 'R_EX_M_fe2__extr_pool', 'R_EX_M_so3__extr_pool', 'R_EX_M_tsul__extr_pool', 'R_EX_M_h2__extr_pool', 'R_EX_M_no2__extr_pool', 'R_EX_M_hco3__extr_pool', 'R_EX_M_C00163__extr_pool', 'R_EX_M_C00221__extr_pool', 'R_EX_M_ppi__extr_pool', 'R_EX_M_citr__L__extr_pool', 'R_EX_M_fe3__extr_pool', 'R_EX_M_ala__D__extr_pool', 'R_EX_M_acorn__extr_pool', 'R_Sink_amob_S_Adenosyl_4_methylthio_2_oxobutanoate_C15H20N5O6S__cytop_sazorense'] 
0;0;{1, 5, 6, 7, 14, 16, 17, 18, 19, 20, 22, 29, 30, 34, 37, 42, 43, 45, 46, 47, 49, 52, 53};['R_EX_M_arg__L__extr_pool', 'R_EX_M_pi__extr_pool', 'R_EX_M_h__extr_pool', 'R_EX_M_gal__extr_pool', 'R_EX_M_gly__extr_pool', 'R_EX_M_pro__L__extr_pool', 'R_EX_M_thr__L__extr_pool', 'R_EX_M_ala__L__extr_pool', 'R_EX_M_fol__extr_pool', 'R_EX_M_h2s__extr_pool', 'R_EX_M_e_Biomass__cytop_pool', 'R_EX_M_no3__extr_pool', 'R_EX_M_e_Biomass__extr_pool', 'R_EX_M_no2__extr_pool', 'R_EX_M_C00163__extr_pool', 'R_EX_M_amet__extr_pool', 'R_EX_M_4pasp__extr_pool', 'R_EX_M_C00819__extr_pool', 'R_EX_M_fe3__extr_pool', 'R_EX_M_glu5sa__extr_pool', 'R_EX_M_acorn__extr_pool', 'R_EX_M_26dap_LL__extr_pool', 'R_EX_M_glu__D__extr_pool'] 
0;0;{5, 8, 13, 15, 49, 17, 50, 52, 22, 30};['R_EX_M_pi__extr_pool', 'R_EX_M_phe__L__extr_pool', 'R_EX_M_gln__L__extr_pool', 'R_EX_M_leu__L__extr_pool', 'R_EX_M_acorn__extr_pool', 'R_EX_M_thr__L__extr_pool', 'R_EX_M_26dap__M__extr_pool', 'R_EX_M_26dap_LL__extr_pool', 'R_EX_M_e_Biomass__cytop_pool', 'R_EX_M_e_Biomass__extr_pool'] 
0;0;{35, 52, 28};['R_EX_M_hco3__extr_pool', 'R_EX_M_26dap_LL__extr_pool', 'R_EX_M_fe2__extr_pool'] 
0;0;{3, 5, 7, 12, 14, 16, 18, 22, 25, 26, 27, 28, 30, 31, 33, 34, 37, 38, 39, 45, 46, 47, 48, 49, 50, 56};['R_EX_M_asp__L__extr_pool', 'R_EX_M_pi__extr_pool', 'R_EX_M_gal__extr_pool', 'R_EX_M_his__L__extr_pool', 'R_EX_M_gly__extr_pool', 'R_EX_M_pro__L__extr_pool', 'R_EX_M_ala__L__extr_pool', 'R_EX_M_e_Biomass__cytop_pool', 'R_Sink_e_Urea__dra_damyloliticus', 'R_EX_M_cyan__extr_pool', 'R_EX_M_so4__extr_pool', 'R_EX_M_fe2__extr_pool', 'R_EX_M_e_Biomass__extr_pool', 'R_EX_M_so3__extr_pool', 'R_EX_M_h2__extr_pool', 'R_EX_M_no2__extr_pool', 'R_EX_M_C00163__extr_pool', 'R_EX_M_C00221__extr_pool', 'R_EX_M_ppi__extr_pool', 'R_EX_M_C00819__extr_pool', 'R_EX_M_fe3__extr_pool', 'R_EX_M_glu5sa__extr_pool', 'R_EX_M_ala__D__extr_pool', 'R_EX_M_acorn__extr_pool', 'R_EX_M_26dap__M__extr_pool', 'R_Sink_amob_S_Adenosyl_4_methylthio_2_oxobutanoate_C15H20N5O6S__cytop_sazorense'] 
0;0;{0, 33, 3, 36, 39, 7, 41, 11, 12, 46, 48, 50, 19, 20, 52, 22, 57, 28, 30, 31};['R_EX_M_nh4__extr_pool', 'R_EX_M_h2__extr_pool', 'R_EX_M_asp__L__extr_pool', 'R_EX_M_ncam__extr_pool', 'R_EX_M_ppi__extr_pool', 'R_EX_M_gal__extr_pool', 'R_Sink_5_Deoxyadenosine__dra_paerophilum', 'R_EX_M_fru__extr_pool', 'R_EX_M_his__L__extr_pool', 'R_EX_M_fe3__extr_pool', 'R_EX_M_ala__D__extr_pool', 'R_EX_M_26dap__M__extr_pool', 'R_EX_M_fol__extr_pool', 'R_EX_M_h2s__extr_pool', 'R_EX_M_26dap_LL__extr_pool', 'R_EX_M_e_Biomass__cytop_pool', 'R_Sink_dad_5_5_Deoxyadenosine_C10H13N5O3__cytop_sazorense', 'R_EX_M_fe2__extr_pool', 'R_EX_M_e_Biomass__extr_pool', 'R_EX_M_so3__extr_pool'] 
0;0;{1, 35, 3, 8, 11, 45, 46, 20, 54, 23, 31};['R_EX_M_arg__L__extr_pool', 'R_EX_M_hco3__extr_pool', 'R_EX_M_asp__L__extr_pool', 'R_EX_M_phe__L__extr_pool', 'R_EX_M_fru__extr_pool', 'R_EX_M_C00819__extr_pool', 'R_EX_M_fe3__extr_pool', 'R_EX_M_h2s__extr_pool', 'R_EX_M_aspsa__extr_pool', 'R_EX_e_Biomass__dra_damyloliticus', 'R_EX_M_so3__extr_pool'] 
0;0;{32, 2, 3, 4, 38, 6, 8, 9, 12, 13, 45, 48, 24};['R_EX_M_tsul__extr_pool', 'R_EX_M_s__extr_pool', 'R_EX_M_asp__L__extr_pool', 'R_EX_M_glc__aD__extr_pool', 'R_EX_M_C00221__extr_pool', 'R_EX_M_h__extr_pool', 'R_EX_M_phe__L__extr_pool', 'R_EX_M_ile__L__extr_pool', 'R_EX_M_his__L__extr_pool', 'R_EX_M_gln__L__extr_pool', 'R_EX_M_C00819__extr_pool', 'R_EX_M_ala__D__extr_pool', 'R_Sink_e_5_Deoxyadenosine__dra_damyloliticus'] 
0;0;{4, 6, 9, 10, 12, 46, 16, 21, 54, 25, 26, 28};['R_EX_M_glc__aD__extr_pool', 'R_EX_M_h__extr_pool', 'R_EX_M_ile__L__extr_pool', 'R_EX_M_h2o__extr_pool', 'R_EX_M_his__L__extr_pool', 'R_EX_M_fe3__extr_pool', 'R_EX_M_pro__L__extr_pool', 'R_EX_M_met__L__extr_pool', 'R_EX_M_aspsa__extr_pool', 'R_Sink_e_Urea__dra_damyloliticus', 'R_EX_M_cyan__extr_pool', 'R_EX_M_fe2__extr_pool'] 
